ime,dirkalisce,drzava,datum,prvenstvo,zmagovalec
Springfield Indycars,Tony Bettenhausen Memorial,USA,21/08/1965,USAC National Championship,AJ Foyt jr
Pietermaritzburg F1,Pat Fairfield Trophy,ZAF,21/08/1965,South African Drivers Championship,John Love
Columbia NASCAR,Sandlapper 200,USA,19/08/1965,NASCAR Grand National,David Pearson
Mediterranean Grand Prix,Gran Premio del Mediterraneo,ITA,15/08/1965,Non-championship,Jo Siffert
Augusta NASCAR,,USA,15/08/1965,NASCAR Grand National,Dick Hutcherson
Milwaukee Indycars,Tony Bettenhausen 150,USA,14/08/1965,USAC National Championship,Joe Leonard
Spartanburg NASCAR,,USA,14/08/1965,NASCAR Grand National,Ned Jarrett
Maryville NASCAR,,USA,13/08/1965,NASCAR Grand National,Dick Hutcherson
Langhorne Indycars,Langhorne 125,USA,08/08/1965,USAC National Championship,Jim McElreath
Weaverville NASCAR,Western North Carolina 500,USA,08/08/1965,NASCAR Grand National,Richard Petty
Kyalami F1,Rand Winter Trophy,ZAF,06/08/1965,South African Drivers Championship,John Love
Shelby NASCAR,,USA,05/08/1965,NASCAR Grand National,Ned Jarrett
German Grand Prix,Grosser Preis von Deutschland,DEU,01/08/1965,F1 World Championship,Jim Clark
Atlanta Indycars,Atlanta 250,USA,01/08/1965,USAC National Championship,Johnny Rutherford
Nashville NASCAR,Nashville 400,USA,31/07/1965,NASCAR Grand National,Richard Petty
Indianapolis Raceway Park Indycars,Hoosier Grand Prix,USA,25/07/1965,USAC National Championship,Mario Andretti
Bristol NASCAR,Volunteer 500,USA,25/07/1965,NASCAR Grand National,Ned Jarrett
Dutch Grand Prix,Grote Prijs van Nederland,NLD,18/07/1965,F1 World Championship,Jim Clark
Trenton Indycars,Trenton 150,USA,18/07/1965,USAC National Championship,AJ Foyt jr
Watkins Glen NASCAR,,USA,18/07/1965,NASCAR Grand National,Marvin Panch
Islip NASCAR,,USA,14/07/1965,NASCAR Grand National,Marvin Panch
East London F1,Border 100,ZAF,12/07/1965,South African Drivers Championship,John Love
British Grand Prix,British Grand Prix,GBR,10/07/1965,F1 World Championship,Jim Clark
Old Bridge NASCAR,Old Bridge 200,USA,09/07/1965,NASCAR Grand National,Junior Johnson
Manassas NASCAR,,USA,08/07/1965,NASCAR Grand National,Junior Johnson
Pikes Peak,Pikes Peak,USA,04/07/1965,USAC National Championship,Al Unser
Daytona NASCAR,Firecracker 400,USA,04/07/1965,NASCAR Grand National,AJ Foyt jr
Reims 12 Hours,12 heures de Reims,FRA,03/07/1965,Jean Guichet,Pedro Rodriguez
French Grand Prix,Grand Prix de l&#039;Automobile Club de France,FRA,27/06/1965,F1 World Championship,Jim Clark
Valdosta NASCAR,,USA,27/06/1965,NASCAR Grand National,Cale Yarborough
Pietermaritzburg F1,Natal Winter Trophy,ZAF,26/06/1965,South African Drivers Championship,John Love
Myrtle Beach NASCAR,,USA,24/06/1965,NASCAR Grand National,Dick Hutcherson
Langhorne Indycars,Langhorne 100,USA,20/06/1965,USAC National Championship,Jim McElreath
Le Mans 24 Hours,24 heures du Mans,FRA,19/06/1965,Jochen Rindt,Ed Hugus
Greenville NASCAR,,USA,19/06/1965,NASCAR Grand National,Dick Hutcherson
Belgian Grand Prix,Grand Prix de Belgique,BEL,13/06/1965,F1 World Championship,Jim Clark
Atlanta NASCAR,Dixie 400,USA,13/06/1965,NASCAR Grand National,Marvin Panch
Crystal Palace British F2,London Trophy,GBR,07/06/1965,Autocar British F2 Championship,Jim Clark
Milwaukee Indycars,Rex Mays 100,USA,06/06/1965,USAC National Championship,Parnelli Jones
Birmingham NASCAR,Birmingham 200,USA,06/06/1965,NASCAR Grand National,Ned Jarrett
Nashville NASCAR,,USA,03/06/1965,NASCAR Grand National,Dick Hutcherson
Indianapolis 500,Indianapolis 500,USA,31/05/1965,USAC National Championship,Jim Clark
Monaco Grand Prix,Grand Prix de Monaco,MCO,30/05/1965,F1 World Championship,Graham Hill
Harris NASCAR,,USA,30/05/1965,NASCAR Grand National,Ned Jarrett
Asheville NASCAR,,USA,29/05/1965,NASCAR Grand National,Junior Johnson
Kyalami F1,Republic Day Trophy,ZAF,28/05/1965,South African Drivers Championship,John Love
Shelby NASCAR,,USA,27/05/1965,NASCAR Grand National,Ned Jarrett
Nurburgring 1000Kms,ADAC 1000 km-Rennen,DEU,23/05/1965,Ludovico Scarfiotti,John Surtees
World 600,World 600,USA,23/05/1965,NASCAR Grand National,Fred Lorenzen
Spa Grand Prix,Grand Prix de Spa,BEL,16/05/1965,International Championship of Makes,Willy Mairesse
Hickory NASCAR,Hickory 250,USA,16/05/1965,NASCAR Grand National,Junior Johnson
International Trophy,Daily Express International Trophy,GBR,15/05/1965,Non-championship,Jackie Stewart
Winston-Salem NASCAR,,USA,15/05/1965,NASCAR Grand National,Junior Johnson
Hampton NASCAR,Tidewater 250,USA,14/05/1965,NASCAR Grand National,Ned Jarrett
Targa Florio,Targa Florio,ITA,09/05/1965,Lorenzo Bandini,Nino Vaccarella
Darlington NASCAR,Rebel 300,USA,08/05/1965,NASCAR Grand National,Junior Johnson
Bristol NASCAR,Southeastern 500,USA,02/05/1965,Junior Johnson,Fred Lorenzen
Tourist Trophy,RAC Tourist Trophy,GBR,01/05/1965,International Championship of Makes,Denny Hulme
Columbia NASCAR,Columbia 200,USA,28/04/1965,NASCAR Grand National,Tiny Lund
Trenton Indycars,Trenton 100,USA,25/04/1965,USAC National Championship,Jim McElreath
Monza 1000Kms,1000 km di Monza/Trofeo Filippo Caracciolo,ITA,25/04/1965,Jean Guichet,Michael Parkes
Martinsville NASCAR,Virginia 500,USA,25/04/1965,NASCAR Grand National,Fred Lorenzen
Pietermaritzburg F1,Coronation 100,ZAF,19/04/1965,South African Drivers Championship,John Love
Goodwood F1,Sunday Mirror Glover Trophy,GBR,19/04/1965,Non-championship,Jim Clark
North Wilkesboro NASCAR,Gwyn Staley Memorial,USA,18/04/1965,NASCAR Grand National,Junior Johnson
Greenville NASCAR,,USA,17/04/1965,NASCAR Grand National,Dick Hutcherson
Atlanta NASCAR,Atlanta 500,USA,11/04/1965,AJ Foyt jr,Marvin Panch
Snetterton British F2,Autocar Trophy,GBR,10/04/1965,Autocar British F2 Championship,Graham Hill
Syracuse Grand Prix,Gran Premio di Siracusa,ITA,04/04/1965,Non-championship,Jim Clark
Oulton Park British F2,Daily Express Spring Trophy,GBR,03/04/1965,Autocar British F2 Championship,Denny Hulme
Phoenix Indycars,Jimmy Bryan 150,USA,28/03/1965,USAC National Championship,Don Branson
Sebring 12 Hours,12 Hours of Sebring,USA,27/03/1965,Jim Hall,Hap Sharp
Silverstone British F2,Senior Service BARC 200,GBR,20/03/1965,Autocar British F2 Championship,Ni zmagovalca
Hillsborough NASCAR,,USA,14/03/1965,NASCAR Grand National,Ned Jarrett
Race of Champions,Daily Mail Race of Champions,GBR,13/03/1965,Non-championship,Mike Spence
Richmond NASCAR,Richmond 250,USA,07/03/1965,NASCAR Grand National,Junior Johnson
Lakeside Tasman,Lakeside International,AUS,07/03/1965,Tasman Cup,Jim Clark
Kyalami F1,Rand Autumn Trophy,ZAF,06/03/1965,South African Drivers Championship,John Love
Australian Grand Prix,Australian Grand Prix,AUS,01/03/1965,Tasman Cup,Bruce McLaren
Daytona Continental,Daytona Continental,USA,28/02/1965,Ken Miles,Lloyd Ruby
Weaverville NASCAR,,USA,28/02/1965,NASCAR Grand National,Ned Jarrett
Spartanburg NASCAR,,USA,27/02/1965,NASCAR Grand National,Ned Jarrett
Sandown Park Tasman,Sandown Park Cup,AUS,21/02/1965,Tasman Cup,Jack Brabham
Daytona 500,Daytona 500,USA,14/02/1965,NASCAR Grand National,Fred Lorenzen
Warwick Farm Tasman,Warwick Farm 100,AUS,14/02/1965,Tasman Cup,Jim Clark
Daytona NASCAR,,USA,12/02/1965,NASCAR Grand National,Darel Dieringer
Daytona NASCAR,,USA,12/02/1965,NASCAR Grand National,Junior Johnson
Teretonga Tasman,Teretonga International,NZL,30/01/1965,Tasman Cup,Jim Clark
Lady Wigram Trophy,Lady Wigram Trophy,NZL,23/01/1965,Tasman Cup,Jim Clark
Riverside NASCAR,Motor Trend 500,USA,17/01/1965,NASCAR Grand National,Dan Gurney
Levin Tasman,Gold Leaf Trophy/Levin International,NZL,16/01/1965,Tasman Cup,Jim Clark
New Zealand Grand Prix,New Zealand Grand Prix,NZL,09/01/1965,Tasman Cup,Graham Hill
Killarney F1,Cape South Easter Trophy,ZAF,09/01/1965,South African Drivers Championship,John Love
South African Grand Prix,South African Grand Prix,ZAF,01/01/1965,F1 World Championship,Jim Clark
Rand Grand Prix,Rand Grand Prix,ZAF,12/12/1964,South African Drivers Championship,Graham Hill
Rhodesian Grand Prix,Rhodesian Grand Prix,RHO,29/11/1964,Non-championship,Paul Hawkins
Phoenix Indycars,Bobby Ball 200,USA,22/11/1964,USAC National Championship,Lloyd Ruby
Macau Grand Prix,Grande Premio de Macau,MAC,15/11/1964,Non-championship,Albert Poon
Jacksonville NASCAR,,USA,08/11/1964,NASCAR Grand National,Ned Jarrett
Augusta NASCAR,Jaycee 300,USA,01/11/1964,NASCAR Grand National,Darel Dieringer
Mexican Grand Prix,Gran Premio de Mexico,MEX,25/10/1964,F1 World Championship,Dan Gurney
Sacramento Indycars,Golden State 100,USA,25/10/1964,USAC National Championship,AJ Foyt jr
Harris NASCAR,,USA,25/10/1964,NASCAR Grand National,Richard Petty
Charlotte NASCAR,National 400,USA,18/10/1964,NASCAR Grand National,Fred Lorenzen
North Wilkesboro NASCAR,Wilkes 400,USA,11/10/1964,NASCAR Grand National,Marvin Panch
Paris 1000Kms,1000 km de Paris,FRA,11/10/1964,Jo Bonnier,Graham Hill
Kyalami F1,Johannesburg Festival Race,ZAF,10/10/1964,South African Drivers Championship,John Love
Savannah NASCAR,,USA,09/10/1964,NASCAR Grand National,Ned Jarrett
United States Grand Prix,United States Grand Prix,USA,04/10/1964,F1 World Championship,Graham Hill
Trenton Indycars,Trenton 200,USA,27/09/1964,USAC National Championship,Parnelli Jones
Martinsville NASCAR,Old Dominion 500,USA,27/09/1964,NASCAR Grand National,Fred Lorenzen
Indiana State Fair Indycars,Hoosier 100,USA,26/09/1964,USAC National Championship,AJ Foyt jr
Snetterton British F2,Vanwall Trophy,GBR,26/09/1964,Autocar British F2 Championship,Jackie Stewart
Hillsborough NASCAR,,USA,20/09/1964,NASCAR Grand National,Ned Jarrett
Killarney F1,Van Riebeeck Trophy,ZAF,19/09/1964,South African Drivers Championship,Trevor Blokdyk
Oulton Park Gold Cup,International Gold Cup,GBR,19/09/1964,Autocar British F2 Championship,Jack Brabham
Manassas NASCAR,,USA,18/09/1964,NASCAR Grand National,Ned Jarrett
Richmond NASCAR,Capital City 300,USA,14/09/1964,NASCAR Grand National,Cotton Owens
Hickory NASCAR,Buddy Shuman Memorial,USA,11/09/1964,NASCAR Grand National,David Pearson
Du Quoin Indycars,Ted Horn Memorial/Du Quoin 100,USA,07/09/1964,USAC National Championship,AJ Foyt jr
Darlington NASCAR,Southern 500,USA,07/09/1964,NASCAR Grand National,Buck Baker
Italian Grand Prix,Gran Premio d&#039;Italia,ITA,06/09/1964,F1 World Championship,John Surtees
Tourist Trophy,RAC Tourist Trophy,GBR,29/08/1964,International Championship of Makes,Graham Hill
Austrian Grand Prix,Grosser Preis von Osterreich,AUT,23/08/1964,F1 World Championship,Lorenzo Bandini
Milwaukee Indycars,Tony Bettenhausen 200,USA,23/08/1964,USAC National Championship,Parnelli Jones
Roanoke NASCAR,,USA,23/08/1964,NASCAR Grand National,Junior Johnson
Pietermaritzburg F1,August 120,ZAF,23/08/1964,South African Drivers Championship,Trevor Blokdyk
Springfield Indycars,Tony Bettenhausen 100,USA,22/08/1964,USAC National Championship,AJ Foyt jr
Winston-Salem NASCAR,Myers Brothers Memorial,USA,22/08/1964,NASCAR Grand National,Junior Johnson
Columbia NASCAR,Sandlapper 200,USA,21/08/1964,NASCAR Grand National,David Pearson
Mediterranean Grand Prix,Gran Premio del Mediterraneo,ITA,16/08/1964,Non-championship,Jo Siffert
Huntington NASCAR,Mountaineer 500,USA,16/08/1964,NASCAR Grand National,Richard Petty
Moyock NASCAR,Moyock 300,USA,13/08/1964,NASCAR Grand National,Ned Jarrett
Weaverville NASCAR,Western North Carolina 500,USA,09/08/1964,NASCAR Grand National,Ned Jarrett
Myrtle Beach NASCAR,,USA,07/08/1964,NASCAR Grand National,David Pearson
Brands Hatch British F2,British Eagle Trophy,GBR,03/08/1964,Autocar British F2 Championship,Jim Clark
German Grand Prix,Grosser Preis von Deutschland,DEU,02/08/1964,F1 World Championship,John Surtees
Nashville NASCAR,,USA,02/08/1964,NASCAR Grand National,Richard Petty
Kyalami F1,Rand Winter Trophy,ZAF,01/08/1964,South African Drivers Championship,Peter de Klerk
Bristol NASCAR,Volunteer 500,USA,26/07/1964,Ned Jarrett,Fred Lorenzen
Mozambique F1,Coupe Gouvernador Generale,MOZ,26/07/1964,Non-championship,John Love
New Oxford NASCAR,Pennsylvania 200,USA,21/07/1964,NASCAR Grand National,David Pearson
Trenton Indycars,Trenton 150,USA,19/07/1964,USAC National Championship,AJ Foyt jr
Solitude Grand Prix,Grosser Preis der Solitude,DEU,19/07/1964,Non-championship,Jim Clark
Watkins Glen NASCAR,,USA,19/07/1964,NASCAR Grand National,Billy Wade
Islip NASCAR,,USA,15/07/1964,NASCAR Grand National,Billy Wade
East London F1,Border 100,ZAF,13/07/1964,South African Drivers Championship,John Love
Bridgehampton NASCAR,,USA,12/07/1964,NASCAR Grand National,Billy Wade
British Grand Prix,British and European Grand Prix,GBR,11/07/1964,F1 World Championship,Jim Clark
Old Bridge NASCAR,Fireball Roberts 200,USA,10/07/1964,NASCAR Grand National,Billy Wade
Manassas NASCAR,Old Dominion 400,USA,08/07/1964,NASCAR Grand National,Ned Jarrett
Reims 12 Hours,12 heures de Reims,FRA,05/07/1964,Jo Bonnier,Graham Hill
Daytona NASCAR,Firecracker 400,USA,04/07/1964,NASCAR Grand National,AJ Foyt jr
French Grand Prix,Grand Prix de l&#039;Automobile Club de France,FRA,28/06/1964,F1 World Championship,Dan Gurney
Spartanburg NASCAR,,USA,26/06/1964,NASCAR Grand National,Richard Petty
Valdosta NASCAR,,USA,23/06/1964,NASCAR Grand National,Buck Baker
Langhorne Indycars,Langhorne 100,USA,21/06/1964,USAC National Championship,AJ Foyt jr
Birmingham NASCAR,,USA,21/06/1964,NASCAR Grand National,Ned Jarrett
Le Mans 24 Hours,24 heures du Mans,FRA,20/06/1964,Jean Guichet,Nino Vaccarella
Pietermaritzburg F1,Royal Show Trophy,ZAF,20/06/1964,South African Drivers Championship,John Love
Chattanooga NASCAR,Confederate 300,USA,19/06/1964,NASCAR Grand National,David Pearson
Belgian Grand Prix,Grand Prix de Belgique,BEL,14/06/1964,F1 World Championship,Jim Clark
Nashville NASCAR,,USA,14/06/1964,NASCAR Grand National,Richard Petty
Marlborough F1,Marlborough June Race,RHO,13/06/1964,Non-championship,Peter de Klerk
Concord NASCAR,,USA,11/06/1964,NASCAR Grand National,Richard Petty
Milwaukee Indycars,Rex Mays 100,USA,07/06/1964,USAC National Championship,AJ Foyt jr
Atlanta NASCAR,Dixie 400,USA,07/06/1964,NASCAR Grand National,Ned Jarrett
Kyalami F1,South African Republic Festival Trophy,ZAF,06/06/1964,South African Drivers Championship,Peter de Klerk
Nurburgring 1000Kms,ADAC 1000 km-Rennen,DEU,31/05/1964,Ludovico Scarfiotti,Nino Vaccarella
Asheville NASCAR,,USA,31/05/1964,NASCAR Grand National,Ned Jarrett
Indianapolis 500,Indianapolis 500,USA,30/05/1964,USAC National Championship,AJ Foyt jr
Greenville NASCAR,,USA,30/05/1964,NASCAR Grand National,Lee Roy Yarbrough
Dutch Grand Prix,Grote Prijs van Nederland,NLD,24/05/1964,F1 World Championship,Jim Clark
World 600,World 600,USA,24/05/1964,NASCAR Grand National,Jim Paschal
Crystal Palace British F2,London Trophy,GBR,18/05/1964,Autocar British F2 Championship,Jochen Rindt
Spa Grand Prix,Grand Prix de Spa-Francorchamps,BEL,17/05/1964,International Championship of Makes,Michael Parkes
South Boston NASCAR,,USA,17/05/1964,NASCAR Grand National,Richard Petty
Mallory Park British F2,Grovewood Trophy,GBR,17/05/1964,Autocar British F2 Championship,Jim Clark
Hickory NASCAR,Hickory 250,USA,16/05/1964,NASCAR Grand National,Ned Jarrett
Hampton NASCAR,Tidewater 250,USA,15/05/1964,NASCAR Grand National,Ned Jarrett
Monaco Grand Prix,Grand Prix de Monaco,MCO,10/05/1964,F1 World Championship,Graham Hill
Darlington NASCAR,Rebel 300,USA,09/05/1964,NASCAR Grand National,Fred Lorenzen
Marlborough F1,Mashonaland 100,RHO,03/05/1964,Non-championship,Peter de Klerk
International Trophy,Daily Express International Trophy,GBR,02/05/1964,Non-championship,Jack Brabham
Savannah NASCAR,Savannah 200,USA,01/05/1964,NASCAR Grand National,Lee Roy Yarbrough
Targa Florio,Targa Florio,ITA,26/04/1964,Colin Davis,Antonio Pucci
Martinsville NASCAR,Virginia 500,USA,26/04/1964,NASCAR Grand National,Fred Lorenzen
Trenton Indycars,Trenton 100,USA,19/04/1964,USAC National Championship,AJ Foyt jr
North Wilkesboro NASCAR,Gwyn Staley Memorial,USA,19/04/1964,NASCAR Grand National,Fred Lorenzen
Aintree F1,BARC 200,GBR,18/04/1964,Non-championship,Jack Brabham
Aintree British F2 Class,BARC 200 (F2 class),GBR,18/04/1964,Autocar British F2 Championship,Mike Spence
Columbia NASCAR,Columbia 200,USA,16/04/1964,NASCAR Grand National,Ned Jarrett
Spartanburg NASCAR,,USA,14/04/1964,NASCAR Grand National,Ned Jarrett
Syracuse Grand Prix,Gran Premio di Siracusa,ITA,12/04/1964,Non-championship,John Surtees
Hillsborough NASCAR,Joe Weatherly Memorial 150,USA,12/04/1964,NASCAR Grand National,David Pearson
Weaverville NASCAR,,USA,11/04/1964,NASCAR Grand National,Marvin Panch
Atlanta NASCAR,Atlanta 500,USA,05/04/1964,NASCAR Grand National,Fred Lorenzen
Winston-Salem NASCAR,,USA,30/03/1964,NASCAR Grand National,Marvin Panch
Pietermaritzburg F1,Coronation 100,ZAF,30/03/1964,South African Drivers Championship,John Love
Goodwood F1,News of the World Glover Trophy,GBR,30/03/1964,Non-championship,Jim Clark
Greenville NASCAR,,USA,28/03/1964,NASCAR Grand National,David Pearson
Phoenix Indycars,Jimmy Bryan 100/Governor&#039;s Cup,USA,22/03/1964,USAC National Championship,AJ Foyt jr
Bristol NASCAR,Southeastern 500,USA,22/03/1964,NASCAR Grand National,Fred Lorenzen
Sebring 12 Hours,12 Hours of Sebring,USA,21/03/1964,Umberto Maglioli,Michael Parkes
Snetterton F1,Daily Mirror Trophy,GBR,14/03/1964,Non-championship,Innes Ireland
Richmond NASCAR,Richmond 250,USA,10/03/1964,NASCAR Grand National,David Pearson
Buenos Aires Temporada,Gran Premio de la Automovil Club Argentina,ARG,08/03/1964,Temporada F2 Championship,Silvio Moser
Longford Tasman,South Pacific Trophy,AUS,02/03/1964,Tasman Cup,Graham Hill
Cordoba Temporada,Gran Premio de la Ciudad de Cordoba,ARG,01/03/1964,Temporada F2 Championship,Silvio Moser
Kyalami F1,Rand Autumn Trophy,ZAF,29/02/1964,South African Drivers Championship,Clive Puzey
Daytona 500,Daytona 500,USA,23/02/1964,NASCAR Grand National,Richard Petty
Lakeside Tasman,Lakeside International,AUS,23/02/1964,Tasman Cup,Jack Brabham
Rosario Temporada,Gran Premio de la Ciudad de Rosario,ARG,22/02/1964,Temporada F2 Championship,Silvio Moser
Daytona NASCAR,,USA,21/02/1964,NASCAR Grand National,Junior Johnson
Daytona NASCAR,,USA,21/02/1964,NASCAR Grand National,Bobby Isaac
Daytona Continental,Daytona Continental,USA,16/02/1964,Phil Hill,Pedro Rodriguez
Warwick Farm Tasman,Warwick Farm 100,AUS,16/02/1964,Tasman Cup,Jack Brabham
Buenos Aires Temporada,Gran Premio de la Ciudad de Buenos Aires,ARG,16/02/1964,Temporada F2 Championship,Silvio Moser
Australian Grand Prix,Australian Grand Prix,AUS,09/02/1964,Tasman Cup,Jack Brabham
Teretonga Tasman,Teretonga International,NZL,25/01/1964,Tasman Cup,Bruce McLaren
Riverside NASCAR,Motor Trend 500,USA,19/01/1964,NASCAR Grand National,Dan Gurney
