drzava,prvenstvo 
USA,CART/PPG Indycar World Series
USA,Winston Cup
USA,HFC American Racing Series
USA,Winston Cup
USA,IMSA Camel GT Championship
SWE,World Motorcycle Championship
HUN,F1 World Championship
USA,CART/PPG Indycar World Series
GBR,World Motorcycle Championship
USA,Winston Cup
USA,IMSA Camel GT Championship
DEU,F1 World Championship
GBR,John Nielsen
USA,CART/PPG Indycar World Series
USA,Winston Cup
USA,HFC American Racing Series
FRA,World Motorcycle Championship
ITA,FIA International F3000 Championship
CAN,CART/PPG Indycar World Series
CAN,HFC American Racing Series
YUG,World Motorcycle Championship
DEU,Deutsche Tourenwagen Meisterschaft
DEU,Deutsche Tourenwagen Meisterschaft
USA,Geoff Brabham
GBR,F1 World Championship
CZE,Jochen Mass
FRA,F1 World Championship
USA,CART/PPG Indycar World Series
USA,HFC American Racing Series
USA,Geoff Brabham
BEL,World Motorcycle Championship
USA,Winston Cup
ITA,FIA International F3000 Championship
USA,Winston Cup
NLD,World Motorcycle Championship
DEU,Deutsche Tourenwagen Meisterschaft
DEU,Deutsche Tourenwagen Meisterschaft
USA,F1 World Championship
USA,CART/PPG Indycar World Series
USA,Winston Cup
USA,HFC American Racing Series
DEU,Deutsche Tourenwagen Meisterschaft
DEU,Deutsche Tourenwagen Meisterschaft
CAN,F1 World Championship
USA,Winston Cup
AUT,World Motorcycle Championship
FRA,Jan Lammers
GBR,FIA International F3000 Championship
USA,CART/PPG Indycar World Series
USA,Winston Cup
USA,HFC American Racing Series
USA,Geoff Brabham
DEU,Deutsche Tourenwagen Meisterschaft
DEU,Deutsche Tourenwagen Meisterschaft
USA,IMSA Camel GT Championship
MEX,F1 World Championship
USA,CART/PPG Indycar World Series
USA,Winston Cup
DEU,World Motorcycle Championship
DEU,Deutsche Tourenwagen Meisterschaft
DEU,Deutsche Tourenwagen Meisterschaft
FRA,FIA International F3000 Championship
ITA,World Motorcycle Championship
CZE,Deutsche Tourenwagen Meisterschaft
CZE,Deutsche Tourenwagen Meisterschaft
MCO,F1 World Championship
ITA,FIA International F3000 Championship
GBR,Martin Brundle
ITA,F1 World Championship
USA,Winston Cup
ESP,World Motorcycle Championship
DEU,Deutsche Tourenwagen Meisterschaft
DEU,Deutsche Tourenwagen Meisterschaft
USA,Winston Cup
USA,Geoff Brabham
ESP,World Motorcycle Championship
DEU,Deutsche Tourenwagen Meisterschaft
DEU,Deutsche Tourenwagen Meisterschaft
USA,CART/PPG Indycar World Series
USA,Winston Cup
ESP,FIA International F3000 Championship
ITA,Martin Brundle
USA,CART/PPG Indycar World Series
USA,Winston Cup
USA,HFC American Racing Series
USA,Geoff Brabham
USA,World Motorcycle Championship
BRA,F1 World Championship
USA,Winston Cup
JPN,World Motorcycle Championship
USA,Klaus Ludwig
USA,Winston Cup
ESP,Martin Brundle
ESP,Jochen Mass
USA,Winston Cup
BEL,Deutsche Tourenwagen Meisterschaft
BEL,Deutsche Tourenwagen Meisterschaft
USA,Price Cobb
USA,Winston Cup
USA,Winston Cup
USA,Jan Lammers
MAC,Non-championship
USA,Winston Cup
AUS,F1 World Championship
JPN,Klaus Ludwig
USA,Winston Cup
JPN,F1 World Championship
USA,CART/PPG Indycar World Series
USA,American Racing Series
USA,Can-Am Challenge
NZL,Klaus Ludwig
USA,Winston Cup
USA,IMSA Camel GT Championship
MEX,F1 World Championship
ESP,FIA International F3000 Championship
GBR,EFDA F3 Euroseries
USA,CART/PPG Indycar World Series
USA,Winston Cup
USA,American Racing Series
AUS,Steve Soper
AUS,Peter McLeod
USA,Winston Cup
USA,IMSA Camel GT Championship
ARG,World Motorcycle Championship
GBR,European F3 Cup
ESP,F1 World Championship
FRA,FIA International F3000 Championship
JPN,Jan Lammers
USA,Winston Cup
BRA,World Motorcycle Championship
PRT,F1 World Championship
USA,CART/PPG Indycar World Series
USA,Winston Cup
USA,American Racing Series
ITA,FIA International F3000 Championship
BEL,Martin Brundle
USA,Winston Cup
ESP,World Motorcycle Championship
USA,Can-Am Challenge
ITA,F1 World Championship
GBR,Enzo Calderari
USA,CART/PPG Indycar World Series
USA,Winston Cup
USA,American Racing Series
USA,Al Holbert
GBR,FIA International F3000 Championship
DEU,Raul Boesel
USA,CART/PPG Indycar World Series
ITA,World Motorcycle Championship
CZE,World Motorcycle Championship
AUT,Deutsche Tourenwagen Meisterschaft
USA,Winston Cup
AUT,F1 World Championship
USA,CART/PPG Indycar World Series
USA,Winston Cup
USA,American Racing Series
USA,Price Cobb
CAN,Can-Am Challenge
CZE,Klaus Ludwig
USA,Winston Cup
HUN,F1 World Championship
DEU,Deutsche Tourenwagen Meisterschaft
SWE,World Motorcycle Championship
GBR,FIA International F3000 Championship
SWE,EFDA F3 Euroseries
USA,CART/PPG Indycar World Series
USA,IMSA Camel GT Championship
GBR,World Motorcycle Championship
DEU,Deutsche Tourenwagen Meisterschaft
SWE,EFDA F3 Euroseries
BEL,Eric van de Poele
DEU,F1 World Championship
GBR,Raul Boesel
USA,Winston Cup
USA,IMSA Camel GT Championship
ITA,FIA International F3000 Championship
DEU,EFDA F3 Euroseries
CAN,CART/PPG Indycar World Series
USA,Winston Cup
CAN,American Racing Series
USA,Can-Am Challenge
FRA,World Motorcycle Championship
DEU,EFDA F3 Euroseries
GBR,F1 World Championship
DEU,Klaus Ludwig
DEU,Deutsche Tourenwagen Meisterschaft
FRA,F1 World Championship
USA,CART/PPG Indycar World Series
USA,American Racing Series
USA,Price Cobb
USA,Winston Cup
GBR,FIA International F3000 Championship
DEU,Mauro Baldi
USA,CART/PPG Indycar World Series
USA,Winston Cup
USA,American Racing Series
DEU,Deutsche Tourenwagen Meisterschaft
NLD,World Motorcycle Championship
USA,F1 World Championship
USA,Winston Cup
USA,Hurley Haywood
USA,CART/PPG Indycar World Series
USA,Winston Cup
YUG,World Motorcycle Championship
FRA,Al Holbert
FRA,FIA International F3000 Championship
USA,Jochen Mass
USA,Can-Am Challenge
AUT,World Motorcycle Championship
MCO,F1 World Championship
USA,CART/PPG Indycar World Series
USA,Winston Cup
USA,American Racing Series
DEU,Deutsche Tourenwagen Meisterschaft
USA,IMSA Camel GT Championship
USA,CART/PPG Indycar World Series
USA,Winston Cup
ITA,World Motorcycle Championship
BEL,F1 World Championship
DEU,World Motorcycle Championship
BEL,FIA International F3000 Championship
ITA,FIA International F3000 Championship
GBR,Raul Boesel
FRA,Gianfranco Brancatelli
DEU,Deutsche Tourenwagen Meisterschaft
ITA,F1 World Championship
USA,Winston Cup
USA,IMSA Camel GT Championship
USA,Can-Am Challenge
USA,Winston Cup
USA,Hurley Haywood
ESP,World Motorcycle Championship
DEU,Deutsche Tourenwagen Meisterschaft
ESP,Emanuele Pirro
BRA,F1 World Championship
GBR,FIA International F3000 Championship
ITA,Jan Lammers
USA,CART/PPG Indycar World Series
USA,Winston Cup
USA,American Racing Series
USA,Price Cobb
BEL,Deutsche Tourenwagen Meisterschaft
USA,CART/PPG Indycar World Series
USA,Winston Cup
ESP,Raul Boesel
USA,Winston Cup
JPN,World Motorcycle Championship
DEU,Deutsche Tourenwagen Meisterschaft
ESP,Jan Lammers
ITA,Allan Moffat
USA,Jochen Mass
USA,Winston Cup
USA,Winston Cup
USA,Winston Cup
USA,Geoff Brabham
USA,Winston Cup
USA,Chip Robinson
MAC,Non-championship
USA,Winston Cup
USA,CART/PPG Indycar World Series
USA,American Racing Series
USA,Winston Cup
AUS,F1 World Championship
USA,Chip Robinson
USA,Can-Am Challenge
ITA,European F3 Cup
USA,CART/PPG Indycar World Series
USA,Winston Cup
USA,American Racing Series
MEX,F1 World Championship
USA,CART/PPG Indycar World Series
USA,American Racing Series
JPN,Paolo Barilla
ESP,FIA International F3000 Championship
USA,Winston Cup
USA,Scott Pruett
USA,CART/PPG Indycar World Series
USA,American Racing Series
FRA,FIA International F3000 Championship
USA,CART/PPG Indycar World Series
USA,Winston Cup
PRT,F1 World Championship
USA,Winston Cup
USA,John Andretti
DEU,Deutsche Tourenwagen Meisterschaft
BEL,Thierry Boutsen
USA,Winston Cup
CAN,Can-Am Challenge
ITA,F1 World Championship
CAN,CART/PPG Indycar World Series
USA,Winston Cup
USA,CART/PPG Indycar World Series
USA,Winston Cup
USA,American Racing Series
GBR,FIA International F3000 Championship
DEU,Henri Pescarolo
USA,Al Holbert
ITA,World Motorcycle Championship
USA,Winston Cup
AUT,F1 World Championship
USA,CART/PPG Indycar World Series
USA,Winston Cup
USA,American Racing Series
BEL,Deutsche Tourenwagen Meisterschaft
AUT,FIA International F3000 Championship
HUN,F1 World Championship
USA,Winston Cup
SWE,World Motorcycle Championship
ESP,Oscar Larrauri
USA,Price Cobb
USA,Can-Am Challenge
GBR,World Motorcycle Championship
USA,CART/PPG Indycar World Series
DEU,F1 World Championship
USA,Winston Cup
USA,IMSA Camel GT Championship
ITA,FIA International F3000 Championship
GBR,Mauro Baldi
CAN,CART/PPG Indycar World Series
USA,Winston Cup
CAN,American Racing Series
FRA,World Motorcycle Championship
GBR,F1 World Championship
DEU,Deutsche Tourenwagen Meisterschaft
FRA,F1 World Championship
USA,CART/PPG Indycar World Series
USA,Derek Bell
USA,Can-Am Challenge
BEL,World Motorcycle Championship
USA,Winston Cup
ITA,FIA International F3000 Championship
DEU,World Sports-Prototype Championship
USA,CART/PPG Indycar World Series
USA,American Racing Series
NLD,World Motorcycle Championship
USA,F1 World Championship
USA,Doc Bundy
USA,CART/PPG Indycar World Series
USA,Winston Cup
YUG,World Motorcycle Championship
CAN,F1 World Championship
ITA,FIA International F3000 Championship
USA,CART/PPG Indycar World Series
USA,Winston Cup
USA,American Racing Series
USA,Derek Bell
AUT,World Motorcycle Championship
DEU,Deutsche Tourenwagen Meisterschaft
USA,Winston Cup
CAN,Can-Am Challenge
DEU,Deutsche Tourenwagen Meisterschaft
USA,CART/PPG Indycar World Series
FRA,Al Holbert
USA,IMSA Camel GT Championship
BEL,F1 World Championship
USA,Winston Cup
DEU,World Motorcycle Championship
BEL,FIA International F3000 Championship
FRA,FIA International F3000 Championship
USA,Winston Cup
USA,Price Cobb
ITA,World Motorcycle Championship
MCO,F1 World Championship
DEU,Deutsche Tourenwagen Meisterschaft
GBR,Eddie Cheever
ITA,FIA International F3000 Championship
USA,Winston Cup
USA,IMSA Camel GT Championship
ESP,World Motorcycle Championship
ITA,F1 World Championship
USA,Winston Cup
USA,Price Cobb
DEU,Deutsche Tourenwagen Meisterschaft
ITA,Derek Bell
USA,Winston Cup
ESP,F1 World Championship
GBR,FIA International F3000 Championship
USA,CART/PPG Indycar World Series
USA,Winston Cup
DEU,Deutsche Tourenwagen Meisterschaft
USA,CART/PPG Indycar World Series
USA,Winston Cup
USA,American Racing Series
USA,Doc Bundy
BEL,Deutsche Tourenwagen Meisterschaft
BRA,F1 World Championship
USA,Jo Gartner
USA,Winston Cup
USA,Winston Cup
USA,Paolo Barilla
USA,Winston Cup
USA,Winston Cup
USA,Al Holbert
MYS,Jacky Ickx
USA,Al Holbert
MAC,Non-championship
USA,Winston Cup Grand National
USA,CART/PPG Indycar World Series
AUS,F1 World Championship
USA,Winston Cup Grand National
USA,Can-Am Challenge
FRA,European F3 Cup
USA,Winston Cup Grand National
ZAF,F1 World Championship
USA,CART/PPG Indycar World Series
USA,Can-Am Challenge
CUW,Non-championship
GBR,F1 World Championship
JPN,Kazuyoshi Hoshino
USA,CART/PPG Indycar World Series
USA,Winston Cup Grand National
USA,Price Cobb
USA,Winston Cup Grand National
USA,Derek Bell
GBR,FIA European F3000 Championship
GBR,Derek Bell
USA,CART/PPG Indycar World Series
USA,Winston Cup Grand National
DEU,Deutsche Tourenwagen Meisterschaft
BEL,F1 World Championship
USA,Winston Cup Grand National
CAN,Can-Am Challenge
ITA,F1 World Championship
CAN,CART/PPG Indycar World Series
USA,Winston Cup Grand National
USA,Derek Bell
DEU,Deutsche Tourenwagen Meisterschaft
USA,Can-Am Challenge
BEL,Riccardo Patrese
USA,CART/PPG Indycar World Series
USA,Winston Cup Grand National
ITA,World Motorcycle Championship
NLD,F1 World Championship
USA,Drake Olson
NLD,FIA European F3000 Championship
USA,Winston Cup Grand National
AUT,F1 World Championship
USA,CART/PPG Indycar World Series
BEL,Deutsche Tourenwagen Meisterschaft
AUT,FIA European F3000 Championship
CAN,Derek Bell
USA,Winston Cup Grand National
SWE,World Motorcycle Championship
DEU,F1 World Championship
USA,CART/PPG Indycar World Series
USA,IMSA Camel GT Championship
GBR,World Motorcycle Championship
ITA,FIA European F3000 Championship
USA,CART/PPG Indycar World Series
USA,Winston Cup Grand National
USA,IMSA Camel GT Championship
GBR,F1 World Championship
USA,Winston Cup Grand National
FRA,World Motorcycle Championship
DEU,Deutsche Tourenwagen Meisterschaft
DEU,Derek Bell
FRA,F1 World Championship
USA,CART/PPG Indycar World Series
USA,Derek Bell
BEL,World Motorcycle Championship
USA,Can-Am Challenge
USA,Winston Cup Grand National
FRA,FIA European F3000 Championship
USA,CART/PPG Indycar World Series
NLD,World Motorcycle Championship
USA,F1 World Championship
CAN,F1 World Championship
USA,CART/PPG Indycar World Series
USA,Winston Cup Grand National
YUG,World Motorcycle Championship
FRA,Klaus Ludwig
USA,Winston Cup Grand National
USA,Derek Bell
DEU,Deutsche Tourenwagen Meisterschaft
BEL,FIA European F3000 Championship
USA,CART/PPG Indycar World Series
USA,Winston Cup Grand National
CAN,Can-Am Challenge
AUT,World Motorcycle Championship
DEU,Deutsche Tourenwagen Meisterschaft
FRA,FIA European F3000 Championship
USA,IMSA Camel GT Championship
USA,CART/PPG Indycar World Series
USA,Winston Cup Grand National
ITA,World Motorcycle Championship
MCO,F1 World Championship
USA,Winston Cup Grand National
USA,Derek Bell
DEU,World Motorcycle Championship
ITA,FIA European F3000 Championship
GBR,Jacky Ickx
DEU,Deutsche Tourenwagen Meisterschaft
USA,Winston Cup Grand National
USA,IMSA Camel GT Championship
ESP,World Motorcycle Championship
DEU,Deutsche Tourenwagen Meisterschaft
ITA,F1 World Championship
ITA,Marc Surer
USA,Winston Cup Grand National
USA,Pete Halsmer
PRT,F1 World Championship
USA,Winston Cup Grand National
PRT,FIA European F3000 Championship
ITA,Jacky Ickx
USA,CART/PPG Indycar World Series
USA,Winston Cup Grand National
USA,Hurley Haywood
GBR,FIA European F3000 Championship
BRA,F1 World Championship
USA,Winston Cup Grand National
GBR,FIA European F3000 Championship
BEL,Deutsche Tourenwagen Meisterschaft
USA,AJ Foyt jr
ZAF,World Motorcycle Championship
USA,Winston Cup Grand National
USA,Winston Cup Grand National
USA,Winston Cup Grand National
USA,Derek Bell
USA,Winston Cup Grand National
USA,Al Unser
AUS,Derek Bell
USA,Derek Bell
USA,Winston Cup Grand National
AUS,Non-championship
MAC,Non-championship
USA,CART/PPG Indycar World Series
USA,Winston Cup Grand National
ZAF,Alessandro Nannini
USA,Can-Am Challenge
PRT,F1 World Championship
ESP,European F3 Championship
USA,CART/PPG Indycar World Series
USA,Winston Cup Grand National
USA,CART/PPG Indycar World Series
USA,Winston Cup Grand National
DEU,F1 World Championship
USA,Winston Cup Grand National
USA,Can-Am Challenge
JPN,Stefan Bellof
USA,Randy Lanier
USA,Can-Am Challenge
GBR,European F2 Championship
USA,CART/PPG Indycar World Series
USA,Winston Cup Grand National
DEU,Deutsche Tourenwagen Meisterschaft
ITA,Stefan Bellof
USA,Winston Cup Grand National
USA,Randy Lanier
FRA,European F3 Championship
ITA,F1 World Championship
CAN,CART/PPG Indycar World Series
USA,Winston Cup Grand National
USA,Derek Bell
CAN,Can-Am Challenge
BEL,Derek Bell
USA,CART/PPG Indycar World Series
USA,Winston Cup Grand National
CAN,Can-Am Challenge
ITA,World Motorcycle Championship
GBR,European F2 Championship
NLD,F1 World Championship
USA,Derek Bell
USA,Winston Cup Grand National
AUT,F1 World Championship
SWE,European F3 Championship
USA,CART/PPG Indycar World Series
USA,Can-Am Challenge
BEL,Deutsche Tourenwagen Meisterschaft
USA,Winston Cup Grand National
SWE,World Motorcycle Championship
DEU,F1 World Championship
CAN,Jacky Ickx
USA,CART/PPG Indycar World Series
USA,IMSA Camel GT Championship
GBR,World Motorcycle Championship
USA,Can-Am Challenge
DEU,Deutsche Tourenwagen Meisterschaft
ITA,European F2 Championship
GBR,Jan Lammers
USA,Winston Cup Grand National
USA,Randy Lanier
GBR,F1 World Championship
ITA,European F2 Championship
USA,CART/PPG Indycar World Series
USA,Winston Cup Grand National
USA,Can-Am Challenge
DEU,Deutsche Tourenwagen Meisterschaft
ITA,European F3 Championship
DEU,Derek Bell
USA,Winston Cup Grand National
USA,F1 World Championship
ITA,European F3 Championship
USA,CART/PPG Indycar World Series
BEL,World Motorcycle Championship
DEU,Deutsche Tourenwagen Meisterschaft
USA,Derek Bell
USA,Can-Am Challenge
USA,Winston Cup Grand National
USA,CART/PPG Indycar World Series
DEU,Deutsche Tourenwagen Meisterschaft
NLD,World Motorcycle Championship
USA,F1 World Championship
DEU,European F2 Championship
ITA,European F3 Championship
CAN,F1 World Championship
DEU,European F3 Championship
USA,CART/PPG Indycar World Series
USA,Winston Cup Grand National
YUG,World Motorcycle Championship
DEU,Deutsche Tourenwagen Meisterschaft
FRA,Klaus Ludwig
FRA,European F2 Championship
DEU,Deutsche Tourenwagen Meisterschaft
FRA,World Motorcycle Championship
GBR,European F3 Championship
USA,Winston Cup Grand National
USA,Derek Bell
CAN,Can-Am Challenge
MCO,F1 World Championship
USA,CART/PPG Indycar World Series
USA,Winston Cup Grand National
USA,IMSA Camel GT Championship
USA,CART/PPG Indycar World Series
AUT,European F3 Championship
USA,Winston Cup Grand National
DEU,World Motorcycle Championship
DEU,Deutsche Tourenwagen Meisterschaft
FRA,F1 World Championship
USA,Winston Cup Grand National
USA,Randy Lanier
AUT,World Motorcycle Championship
ITA,European F2 Championship
ITA,European F2 Championship
FRA,European F3 Championship
GBR,Jacky Ickx
DEU,Deutsche Tourenwagen Meisterschaft
USA,Winston Cup Grand National
ITA,F1 World Championship
USA,Winston Cup Grand National
USA,IMSA Camel GT Championship
ESP,World Motorcycle Championship
FRA,European F3 Championship
BEL,F1 World Championship
USA,Winston Cup Grand National
USA,Randy Lanier
GBR,European F2 Championship
ITA,Derek Bell
BEL,European F3 Championship
USA,CART/PPG Indycar World Series
USA,Winston Cup Grand National
ITA,World Motorcycle Championship
DEU,European F2 Championship
USA,Winston Cup Grand National
USA,IMSA Camel GT Championship
DEU,Deutsche Tourenwagen Meisterschaft
ZAF,F1 World Championship
GBR,European F2 Championship
USA,CART/PPG Indycar World Series
USA,Winston Cup Grand National
BRA,F1 World Championship
GBR,European F3 Championship
USA,Stefan Johansson
ZAF,World Motorcycle Championship
USA,Winston Cup Grand National
BEL,Deutsche Tourenwagen Meisterschaft
USA,Winston Cup Grand National
USA,Winston Cup Grand National
USA,Doc Bundy
USA,Winston Cup Grand National
USA,Tony Martin
ZAF,Derek Bell
USA,Al Holbert
MAC,Non-championship
USA,Winston Cup Grand National
AUS,Non-championship
USA,Winston Cup Grand National
USA,Winston Cup Grand National
USA,CART/PPG Indycar World Series
FRA,European F3 Championship
USA,CART/PPG Indycar World Series
ZAF,F1 World Championship
GBR,European F3 Championship
USA,CART/PPG Indycar World Series
USA,Winston Cup Grand National
USA,Can-Am Challenge
JPN,Derek Bell
USA,Winston Cup Grand National
GBR,F1 World Championship
ITA,European F3 Championship
USA,Winston Cup Grand National
USA,CART/PPG Indycar World Series
USA,Winston Cup Grand National
ITA,F1 World Championship
ESP,European F3 Championship
USA,CART/PPG Indycar World Series
USA,Winston Cup Grand National
USA,Doc Bundy
CAN,Can-Am Challenge
USA,Winston Cup Grand National
ITA,European F2 Championship
BEL,Jacky Ickx
CAN,Can-Am Challenge
ITA,World Motorcycle Championship
FRA,European F3 Championship
NLD,F1 World Championship
USA,CART/PPG Indycar World Series
USA,Winston Cup Grand National
BEL,European F2 Championship
USA,Winston Cup Grand National
USA,Tim Coconis
AUT,F1 World Championship
USA,CART/PPG Indycar World Series
CAN,Bill Adam
DEU,F1 World Championship
SWE,European F3 Championship
SWE,World Motorcycle Championship
ITA,European F2 Championship
NLD,European F3 Championship
USA,CART/PPG Indycar World Series
USA,Winston Cup Grand National
USA,IMSA Camel GT Championship
GBR,World Motorcycle Championship
ITA,European F2 Championship
USA,Winston Cup Grand National
USA,Al Holbert
USA,CART/PPG Indycar World Series
USA,Can-Am Challenge
GBR,F1 World Championship
USA,Winston Cup Grand National
ITA,European F3 Championship
USA,Al Holbert
USA,Winston Cup Grand National
USA,Can-Am Challenge
USA,CART/PPG Indycar World Series
USA,AJ Foyt jr
BEL,World Motorcycle Championship
ITA,European F3 Championship
GBR,European F2 Championship
NLD,World Motorcycle Championship
USA,Winston Cup Grand National
USA,Bobby Rahal
FRA,Al Holbert
CAN,F1 World Championship
ESP,European F2 Championship
GBR,European F3 Championship
USA,CART/PPG Indycar World Series
USA,Winston Cup Grand National
YUG,World Motorcycle Championship
USA,F1 World Championship
FRA,European F3 Championship
USA,Winston Cup Grand National
CAN,Can-Am Challenge
USA,Bill Adam
USA,CART/PPG Indycar World Series
DEU,Jacky Ickx
USA,Winston Cup Grand National
AUT,World Motorcycle Championship
FRA,European F2 Championship
BEL,F1 World Championship
AUT,European F3 Championship
ESP,World Motorcycle Championship
USA,Winston Cup Grand National
MCO,F1 World Championship
USA,Winston Cup Grand National
USA,Al Holbert
ITA,European F2 Championship
GBR,Derek Bell
DEU,World Motorcycle Championship
USA,Winston Cup Grand National
ITA,F1 World Championship
FRA,European F3 Championship
USA,Winston Cup Grand National
USA,IMSA Camel GT Championship
DEU,European F2 Championship
USA,Winston Cup Grand National
USA,John Fitzpatrick
ITA,World Motorcycle Championship
FRA,F1 World Championship
BEL,European F3 Championship
USA,CART/PPG Indycar World Series
USA,Winston Cup Grand National
GBR,Non-championship
DEU,European F2 Championship
ITA,Thierry Boutsen
USA,Winston Cup Grand National
USA,Bill Adam
GBR,European F2 Championship
FRA,World Motorcycle Championship
GBR,British Open Trophy
USA,F1 World Championship
USA,Winston Cup Grand National
GBR,European F2 Championship
USA,Jim Mullen
ZAF,World Motorcycle Championship
BRA,F1 World Championship
ITA,European F3 Championship
USA,Winston Cup Grand National
USA,Winston Cup Grand National
USA,IMSA Camel GT Championship
USA,Winston Cup Grand National
USA,Preston Henn
USA,Ted Field
MAC,Non-championship
USA,Winston Cup Grand National
USA,Winston Cup Grand National
AUS,Non-championship
USA,CART/PPG Indycar World Series
USA,Winston Cup Grand National
GBR,Derek Bell
USA,Winston Cup Grand National
USA,SCCA Budweiser 7/11 Can-Am Challenge
USA,Winston Cup Grand National
DEU,European F3 Championship
JPN,Jacky Ickx
USA,Winston Cup Grand National
USA,SCCA Budweiser 7/11 Can-Am Challenge
USA,CART/PPG Indycar World Series
USA,Ted Field
USA,SCCA Budweiser 7/11 Can-Am Challenge
DEU,World Motorcycle Championship
USA,F1 World Championship
ITA,Michele Alboreto
USA,CART/PPG Indycar World Series
USA,Winston Cup Grand National
ITA,F1 World Championship
ESP,European F3 Championship
USA,Winston Cup Grand National
USA,John Paul
CAN,SCCA Budweiser 7/11 Can-Am Challenge
USA,Winston Cup Grand National
BEL,Jacky Ickx
USA,John Fitzpatrick
CAN,SCCA Budweiser 7/11 Can-Am Challenge
ITA,World Motorcycle Championship
FRA,European F3 Championship
GBR,British F1 Championship
FRA,F1 World Championship
USA,CART/PPG Indycar World Series
USA,Winston Cup Grand National
USA,Winston Cup Grand National
USA,John Fitzpatrick
AUT,F1 World Championship
GBR,British F1 Championship
USA,CART/PPG Indycar World Series
CAN,John Paul
DEU,F1 World Championship
SWE,European F3 Championship
SWE,World Motorcycle Championship
ITA,European F2 Championship
ITA,European F2 Championship
USA,Winston Cup Grand National
USA,IMSA Camel GT Championship
GBR,World Motorcycle Championship
USA,CART/PPG Indycar World Series
FRA,F1 World Championship
USA,Winston Cup Grand National
USA,IMSA Camel GT Championship
USA,SCCA Budweiser 7/11 Can-Am Challenge
GBR,F1 World Championship
SWE,European F2 Championship
FRA,European F3 Championship
USA,CART/PPG Indycar World Series
YUG,World Motorcycle Championship
USA,IMSA Camel GT Championship
USA,Winston Cup Grand National
GBR,European F2 Championship
ITA,European F3 Championship
USA,CART/PPG Indycar World Series
USA,Winston Cup Grand National
BEL,World Motorcycle Championship
NLD,F1 World Championship
USA,Ted Field
ITA,European F3 Championship
USA,SCCA Budweiser 7/11 Can-Am Challenge
NLD,World Motorcycle Championship
DEU,European F2 Championship
USA,Winston Cup Grand National
FRA,Derek Bell
CAN,F1 World Championship
BEL,European F2 Championship
GBR,European F3 Championship
USA,CART/PPG Indycar World Series
USA,Winston Cup Grand National
USA,F1 World Championship
USA,Winston Cup Grand National
CAN,SCCA Budweiser 7/11 Can-Am Challenge
FRA,European F2 Championship
NLD,European F3 Championship
GBR,British F1 Championship
USA,IMSA Camel GT Championship
DEU,Teo Fabi
USA,Winston Cup Grand National
ITA,World Motorcycle Championship
USA,Non-championship
MCO,F1 World Championship
USA,IMSA Camel GT Championship
USA,SCCA Budweiser 7/11 Can-Am Challenge
ESP,World Motorcycle Championship
ITA,European F2 Championship
AUT,European F3 Championship
GBR,Michele Alboreto
USA,Winston Cup Grand National
USA,John Paul
BEL,F1 World Championship
ITA,European F2 Championship
FRA,World Motorcycle Championship
USA,Winston Cup Grand National
FRA,European F3 Championship
USA,Winston Cup Grand National
USA,IMSA Camel GT Championship
AUT,World Motorcycle Championship
USA,CART/PPG Indycar World Series
ITA,F1 World Championship
DEU,European F2 Championship
USA,Winston Cup Grand National
USA,Ted Field
BEL,European F3 Championship
ITA,Henri Pescarolo
USA,Winston Cup Grand National
GBR,European F2 Championship
GBR,British F1 Championship
GBR,British F1 Championship
USA,F1 World Championship
DEU,European F2 Championship
GBR,European F3 Championship
USA,Winston Cup Grand National
USA,IMSA Camel GT Championship
DEU,European F3 Championship
USA,CART/PPG Indycar World Series
USA,Winston Cup Grand National
ARG,World Motorcycle Championship
BRA,F1 World Championship
GBR,European F2 Championship
USA,Winston Cup Grand National
USA,John Paul
ITA,European F3 Championship
USA,Winston Cup Grand National
USA,Winston Cup Grand National
USA,Winston Cup Grand National
USA,John Paul jr
ZAF,F1 World Championship
USA,IMSA Camel GT Championship
USA,Winston Cup Grand National
MAC,Non-championship
USA,Winston Cup Grand National
AUS,Non-championship
USA,Winston Cup Grand National
USA,CART/PPG Indycar World Series
MEX,CART/PPG Indycar World Series
USA,F1 World Championship
USA,SCCA Can-Am Challenge
USA,SCCA Can-Am Challenge
USA,Winston Cup Grand National
USA,CART/PPG Indycar World Series
ITA,European F3 Championship
USA,Winston Cup Grand National
USA,SCCA Can-Am Challenge
CAN,F1 World Championship
GBR,Guy Edwards
USA,Winston Cup Grand National
USA,John Paul
SWE,European F2 Championship
USA,CART/PPG Indycar World Series
ITA,European F3 Championship
USA,Winston Cup Grand National
ITA,F1 World Championship
USA,Winston Cup Grand National
USA,IMSA Camel GT Championship
CAN,SCCA Can-Am Challenge
USA,Winston Cup Grand National
ITA,European F2 Championship
ESP,European F3 Championship
CAN,SCCA Can-Am Challenge
USA,CART/PPG Indycar World Series
NLD,F1 World Championship
USA,CART/PPG Indycar World Series
USA,Derek Bell
USA,Harald Grohs
USA,Harald Grohs
USA,Winston Cup Grand National
AUT,F1 World Championship
GBR,European F2 Championship
CAN,Harald Grohs
USA,Winston Cup Grand National
CAN,SCCA Can-Am Challenge
CAN,Harald Grohs
SWE,World Motorcycle Championship
BEL,European F2 Championship
SWE,European F3 Championship
FIN,World Motorcycle Championship
DEU,F1 World Championship
USA,Winston Cup Grand National
USA,IMSA Camel GT Championship
GBR,World Motorcycle Championship
ITA,European F2 Championship
USA,Winston Cup Grand National
USA,IMSA Camel GT Championship
USA,SCCA Can-Am Challenge
BEL,Pierre Dieudonne
